EXCHANGE_DOMAIN;ADSYSTEM NAME;;;;
Colonne1;Colonne2;;;;
152media.com;;;;;
1rx.io;;;;;
33across.com;33Across;;;;
360yield.com;Improve Digital;;;;
3across.com;;;;;
4aolcloud.net;Oath;;;;
4dsply.com;;;;;
9mediaonline.com;9Media Online;;;;
a9.com;Amazon;;;;
a-ads.com;;;;;
aax.media;;;;;
acecontextweb.com;;;;;
ad.iplayer.org;;;;;
ad.net;;;;;
ad.plus;AdPlus Media;;;;
ad.yieldlab.net;;;;;
ad2iction.com;;;;;
ad6media.fr;Ad6media ;;;;
adagio.io;Adagio;;;;
adblade.com;;;;;
adbrainer.com;;;;;
adbrainer.com;;;;;
adbro.me;;;;;
adcash.com;;;;;
adcolony.com;;;;;
adcrew.co;;;;;
addroplet.com;;;;;
adelement.com;;;;;
adf.ly;;;;;
adform.com;AdForm;;;;
adform.con;AdForm;;;;
adform.net;AdForm;;;;
adfrontiers.com;;;;;
adgear.com;AdGear;;;;
adgebra.co.in;;;;;
ad-generation.jp;Ad Generation;;;;
adhigh.net;;;;;
adingo.jp;;;;;
adipolo.com;Adipolo;;;;
adipolovideo.com;Adipolo;;;;
adleave.com;;;;;
adm.shinobi.jp;;;;;
admanmedia.com;;;;;
admarketplace.com;;;;;
admaru.com;;;;;
admarvel.com;;;;;
admatic.com;AdMatic;;;;
admatic.com.tr;AdMatic;;;;
admeridian.com;;;;;
admin.madrivo.digital;;;;;
admixer.co.kr;Admixer;;;;
admixer.com;Admixer;;;;
admixer.net;AdMixer;;;;
adne.tv;;;;;
adnx.com;;;;;
adnxs.com;;;;;
adocean-global.com;;;;;
adplayer.pro;;;;;
adpone.com;;;;;
adpushup.com;;;;;
adro.io;;;;;
adrock.tv;;;;;
adrolx.com;;;;;
ads.adasiaholdings.com;AdAsia Holdings;;;;
ads.epiphany.digital;;;;;
ads.kiosked.com;;;;;
adscoconut.com;;;;;
adscompass.com;;;;;
adsensor.com;;;;;
adsfactor.net;;;;;
adsnative.com;;;;;
adsolut.in;;;;;
adsparc.com;;;;;
adspruce.com;;;;;
adstanding.com;AdStanding;;;;
ad-stir.com;Ad Stir;;;;
adsupply.com;;;;;
adswizz.com;;;;;
adtag.vidssp.com;;;;;
adtags.pro;;;;;
adtdp.com;;;;;
adtech.com;Oath;;;;
adtech.net;Oath;;;;
adtechsonobi.com;;;;;
adtelligent.com;;;;;
adthink.com;;;;;
adtrue.com;AdTrue;;;;
adunity.com;;;;;
advalue.com.vn;;;;;
advangelists.com;;;;;
adversal.com;;;;;
advertica.ae;;;;;
advertising.amazon.com;Amazon;;;;
advertising.com;Oath;;;;
advinteo.com;;;;;
adwidecenter.com;;;;;
adxcore.com;;;;;
adxoo.com;;;;;
adyoulike.com;AdYouLike;;;;
aerserv.com;;;;;
afy11.net;;;;;
agencyorquidea.com;;;;;
alfadart.com;;;;;
alsumaria.tv;;;;;
altitude-arena.com;;;;;
altitudedigital.com;;;;;
amazon.com;Amazon;;;;
amazon-adsystem.com;Amazon;;;;
ambientdigitalgroup.com;;;;;
amlinetwork.com;;;;;
amoad.com;;;;;
ampliffy.com;;;;;
amxrtb.com;;;;;
andbeyond.media;;;;;
aniview.com;;;;;
anthemx.tv;;;;;
anyclip.com;;;;;
anyclip-media.com;;;;;
aol.com;Oath;;;;
aolcloud.net;Oath;;;;
apester.com;;;;;
api.publishers.adlive.io;;;;;
apnexus.com;AppNexus;;;;
app.amazon.com;Amazon;;;;
app.mopub.com;;;;;
app.tv;;;;;
applovin.com;;;;;
appmonet.com;;;;;
appnext.com;;;;;
appnexus;AppNexus;;;;
appnexus.com;AppNexus;;;;
appnexus.com/564;AppNexus;;;;
apptv.com;;;;;
appvador.com;;;;;
aps.amazon.com;Amazon;;;;
ar.cortadserver.com;;;;;
aralego.com;;;;;
as.amanad.adtdp.com;;;;;
aso1.net;;;;;
atemda.com;;;;;
ative.net;;;;;
atomx.com;;;;;
attentiveads.com;;;;;
audience.media;;;;;
audiencerun.com;;;;;
audienciad.com;;;;;
avantisvideo.com;;;;;
axonix.com;;;;;
ayads.co;;;;;
b1cheats.tk;;;;;
beachfront.com;BeachFront;;;;
bebi.com;;;;;
behave.com;;;;;
betweendigital.com;Between Digital;;;;
bidder.lemmonet.com;;;;;
biddr.io;;;;;
bidfluence.com;Bidfluence;;;;
bidgear.com;;;;;
bidmachine.io;;;;;
bidsopt.com;;;;;
bidstance.com;;;;;
bidstreammedia.com;;;;;
bidswitch.com;;;;;
bidswitch.net;;;;;
bidsxchange.com;;;;;
bidtellect.com;Bidtellect;;;;
bizzclick.com;BizzClick;;;;
bizzclick.net;BizzCLick;;;;
bliink.io;;;;;
blis.com;;;;;
blutonic.com;;;;;
boldwin.com;;;;;
brealtime.com;bRealtime;;;;
brightcom.com;Brightcom;;;;
brightmountainmedia.com;;;;;
brightroll.com;;;;;
btrll.com;;;;;
buysellads.com;;;;;
buzzoola.com;;;;;
bydmath.com;;;;;
c.amazon-adsystem.com;Amazon;;;;
c1exchange.com;;;;;
cafemedia.com;;;;;
captchme.net;;;;;
carambo.la;;;;;
cavixo.com;;;;;
ccedato.com;;;;;
cdn.stickyadstv.com;FreeWheel;;;;
cedato.com;;;;;
cgnl.io;;;;;
chartboost.com;;;;;
chitika.net;;;;;
chocolateplatform.com;;;;;
cibillboard.com;;;;;
cignal.io;;;;;
cleanmedia.net;;;;;
clexchange.com;;;;;
clickforce.com.tw;;;;;
clickio.com;;;;;
clickky.biz;;;;;
clickonometrics.pl;;;;;
close2seven.com;;;;;
cmcm.com;;;;;
coinsandtokens.io;;;;;
coinzilla.com;;;;;
colombiaonline.com;;;;;
commit.com;;;;;
